role,champ,winrate,won,played
bot,bard,0.3333333333333333,1,3
bot,veigar,0.2692307692307692,7,26
bot,karma,0.2608695652173913,6,23
bot,tahm kench,0.2,1,5
bot,lux,0.2,1,5
bot,sett,0.14285714285714285,1,7
bot,zilean,0.14285714285714285,2,14
bot,maokai,0.125,2,16
bot,morgana 2019,0.1111111111111111,2,18
bot,aatrox 2018,0.09090909090909091,1,11
bot,malphite,0.09090909090909091,1,11
bot,garen,0.09090909090909091,1,11
bot,graves,0.07692307692307693,1,13
bot,jayce,0.07142857142857142,1,14
bot,orianna,0.07142857142857142,1,14
bot,elise,0.0,0,2
bot,gragas,0.0,0,10
bot,mordekaiser 2019,0.0,0,11
bot,rakan,0.0,0,10
bot,jarvan iv,0.0,0,10
bot,azir,0.0,0,4
bot,quinn,0.0,0,1
bot,pantheon 2019,0.0,0,14
bot,irelia 2018,0.0,0,15
bot,ornn,0.0,0,1
bot,ryze,0.0,0,10
bot,diana,0.0,0,10
bot,gangplank,0.0,0,10
bot,akali 2018,0.0,0,11
bot,sylas,0.0,0,10
bot,gnar,0.0,0,11
bot,cho'gath,0.0,0,6
bot,taric,0.0,0,2
bot,shaco,0.0,0,10
bot,kassadin,0.0,0,10
bot,zyra,0.0,0,10
bot,rengar,0.0,0,1
bot,corki,0.0,0,4
bot,kayle 2019,0.0,0,10
bot,poppy,0.0,0,10
bot,trundle,0.0,0,10
bot,anivia,0.0,0,10
bot,skarner,0.0,0,10
bot,annie,0.0,0,10
bot,yuumi,0.0,0,1
bot,master yi,0.0,0,10
bot,janna,0.0,0,1
bot,rammus,0.0,0,10
bot,vi,0.0,0,10
bot,brand,0.0,0,3
bot,teemo,0.0,0,10
bot,udyr,0.0,0,10
bot,lillia,0.0,0,10
support,lee sin,1.0,2,2
support,lucian,1.0,2,2
support,leblanc,1.0,1,1
support,ezreal,1.0,1,1
support,volibear 2011,1.0,1,1
support,volibear 2020,1.0,1,1
support,fiddlesticks,0.75,3,4
support,neeko,0.6666666666666666,2,3
support,volibear,0.6176470588235294,21,34
support,bard,0.595514950166113,717,1204
support,nami,0.5897435897435898,23,39
support,rakan,0.5532900834105653,597,1079
support,alistar,0.5402298850574713,188,348
support,morgana 2019,0.5320754716981132,282,530
support,wukong,0.525,21,40
support,shen,0.524390243902439,43,82
support,blitzcrank,0.5229357798165137,228,436
